,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,14.0,11.666666666666666,9.5,11.333333333333334,22.0,7.0,45.0,9.0,12.0,12.0,6.25,8.0,1.0,14.0,1.0,19.666666666666668,0.0,0.0,13.0,15.0,20.25,21.0,0.0,14.5,26.5,6.5,12.333333333333334,16.0,15.0
1,0.0,0.0,10.5,10.0,6.0,0.0,9.0,8.5,9.0,4.0,12.5,1.0,18.0,1.0,0.0,16.0,7.0,0.0,0.0,8.0,0.0,4.333333333333333,3.0,8.0,5.5,0.0,14.0,17.5,10.0,0.0
2,0.0,14.5,0.0,19.0,12.0,2.0,6.0,0.0,3.0,11.0,8.0,14.0,5.5,0.0,6.0,21.0,14.333333333333334,8.5,2.0,19.0,7.0,13.0,7.5,0.0,9.0,0.0,3.0,9.666666666666666,13.0,11.5
3,12.5,42.5,8.333333333333334,0.0,18.0,3.0,5.5,15.5,13.0,31.0,12.0,5.0,6.0,11.5,0.0,10.5,11.5,20.0,7.0,9.0,25.0,17.0,18.333333333333332,0.0,16.0,23.0,1.0,19.25,19.5,9.0
4,1.0,24.0,2.0,2.0,0.0,24.0,22.0,13.0,0.0,29.0,8.5,17.0,10.5,21.0,0.0,12.5,9.0,17.0,10.0,2.0,4.5,23.0,2.5,0.0,20.5,7.0,0.0,21.0,8.5,4.0
5,12.5,17.5,10.333333333333334,12.333333333333334,23.333333333333332,0.0,9.0,20.5,18.0,15.0,28.0,11.666666666666666,13.0,4.0,8.0,17.75,16.666666666666668,7.5,25.5,0.0,13.0,15.5,15.0,9.0,15.0,16.0,14.0,13.0,21.0,18.5
6,7.0,21.0,39.0,0.0,0.0,0.0,0.0,6.333333333333333,4.0,4.5,8.5,12.0,6.5,7.333333333333333,16.666666666666668,8.5,12.5,2.0,10.666666666666666,12.0,20.0,5.0,6.0,15.5,5.5,9.0,6.75,6.0,13.333333333333334,9.0
7,8.0,0.0,3.5,0.0,6.0,0.0,0.0,0.0,26.0,20.666666666666668,16.333333333333332,36.0,21.0,7.0,2.0,0.0,6.5,0.0,9.0,0.0,0.0,0.0,7.0,9.0,7.0,0.0,4.5,0.0,7.666666666666667,5.0
8,3.0,10.333333333333334,14.5,0.0,9.0,7.0,5.0,3.0,0.0,7.0,2.0,21.666666666666668,10.0,13.0,0.0,19.5,14.75,0.0,8.0,0.0,20.0,2.0,10.0,0.0,5.0,6.0,12.0,0.0,5.5,14.0
9,0.0,33.0,0.0,0.0,0.0,0.0,19.0,2.0,9.0,0.0,9.333333333333334,0.0,5.0,26.0,15.0,1.0,23.0,1.0,0.0,0.0,28.0,7.0,9.0,4.0,11.5,0.0,9.0,11.5,5.0,0.0
10,0.0,0.0,3.0,0.0,0.0,9.0,11.5,14.0,5.0,2.0,0.0,0.0,11.5,5.0,1.0,2.0,10.5,11.0,12.0,0.0,8.0,7.0,28.0,0.0,14.0,0.0,7.0,0.0,19.0,4.0
11,0.0,16.333333333333332,12.0,0.0,18.0,1.0,9.0,2.0,4.0,27.5,8.0,0.0,6.0,8.0,3.0,0.0,15.0,10.0,0.0,0.0,8.0,5.666666666666667,15.666666666666666,0.0,9.0,1.0,11.0,9.5,0.0,18.0
12,5.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,5.0,15.666666666666666,32.0,24.0,0.0,4.0,10.0,23.0,10.0,10.0,5.5,0.0,12.0,0.0,7.5,0.0,12.0,0.0,24.5,21.0,13.0,7.0
13,4.0,13.0,5.0,0.0,0.0,6.0,0.0,24.0,14.0,17.0,9.333333333333334,42.0,9.5,0.0,6.5,0.0,12.5,13.666666666666666,13.0,4.0,11.5,8.5,19.5,9.0,6.0,1.0,6.0,13.5,16.5,18.0
14,21.0,7.5,9.0,7.0,9.5,5.0,2.0,4.5,7.0,16.0,12.666666666666666,28.0,9.333333333333334,23.0,0.0,3.5,10.0,7.5,19.5,5.0,13.0,4.0,8.0,2.0,17.0,3.6666666666666665,10.5,18.5,8.0,7.0
15,10.333333333333334,7.666666666666667,15.5,16.0,6.5,0.0,0.0,10.0,14.0,2.0,3.0,7.666666666666667,12.0,9.5,0.0,0.0,27.333333333333332,5.5,0.0,0.0,16.0,7.666666666666667,7.0,3.0,0.0,8.0,0.0,10.25,27.0,6.0
16,1.0,4.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,10.0,0.0,16.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,2.0,8.5,20.0,5.0,5.5,15.0,0.0,7.0,7.0,4.0,7.0
17,5.5,11.0,0.0,0.0,7.0,0.0,4.0,8.25,11.5,11.666666666666666,15.0,7.0,11.0,4.0,7.5,0.0,21.0,0.0,7.0,0.0,6.0,10.0,25.5,8.0,16.0,11.0,11.0,13.5,12.666666666666666,14.0
18,11.0,15.0,5.0,0.0,6.0,0.0,3.0,5.5,4.0,8.666666666666666,13.5,8.5,3.0,14.0,6.5,5.5,12.5,5.5,0.0,5.0,6.0,26.5,1.0,4.5,13.666666666666666,5.0,10.333333333333334,23.0,15.5,10.0
19,7.0,14.666666666666666,6.666666666666667,1.0,10.5,5.666666666666667,24.0,12.5,15.75,27.5,14.0,9.25,16.0,0.0,12.0,13.333333333333334,13.666666666666666,11.0,5.0,0.0,21.5,18.0,16.5,14.5,7.0,7.5,26.0,20.5,26.5,5.666666666666667
20,16.0,5.5,0.0,2.0,0.0,0.0,6.666666666666667,9.25,0.0,15.0,4.0,2.0,12.0,10.0,12.0,9.0,0.0,5.0,6.5,0.0,0.0,0.0,4.0,0.0,0.0,6.0,10.5,9.0,0.0,18.0
21,0.0,0.0,3.0,5.5,28.5,14.0,25.0,15.5,9.666666666666666,6.0,5.0,22.0,17.5,0.0,8.0,24.0,16.0,17.0,0.0,5.0,9.5,0.0,4.5,2.0,8.5,12.0,39.0,7.0,13.0,7.333333333333333
22,4.0,9.333333333333334,14.0,1.0,0.0,9.0,20.0,16.0,1.0,3.0,16.0,12.0,0.0,0.0,6.0,23.0,10.5,0.0,0.0,0.0,2.0,13.0,0.0,0.0,24.5,7.0,27.0,13.333333333333334,0.0,17.0
