,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
74,8:00p,Oklahoma City Thunder,127,Milwaukee Bucks,116,Box Score,,"18,082",
75,8:00p,Detroit Pistons,115,New York Knicks,89,Box Score,,"19,812",
76,8:00p,Chicago Bulls,109,Philadelphia 76ers,125,Box Score,,"20,197",
77,10:30p,Sacramento Kings,131,Portland Trail Blazers,136,Box Score,,"19,814",
78,8:00p,Dallas Mavericks,94,San Antonio Spurs,105,Box Score,,"18,629",
79,,,,,,,,,
80,10:30p,San Antonio Spurs,101,Denver Nuggets,96,Box Score,,"19,520",
81,8:00p,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,,"19,596",
82,2:30p,Brooklyn Nets,111,Philadelphia 76ers,102,Box Score,,"20,437",
83,5:00p,Orlando Magic,104,Toronto Raptors,101,Box Score,,"19,937",
84,1:00p,Indiana Pacers,74,Boston Celtics,84,Box Score,,"18,624",
85,9:30p,Utah Jazz,90,Houston Rockets,122,Box Score,,"18,055",
86,7:00p,Detroit Pistons,86,Milwaukee Bucks,121,Box Score,,"17,529",
87,3:30p,Oklahoma City Thunder,99,Portland Trail Blazers,104,Box Score,,"19,886",
88,10:30p,Los Angeles Clippers,135,Golden State Warriors,131,Box Score,,"19,596",
89,8:00p,Brooklyn Nets,123,Philadelphia 76ers,145,Box Score,,"20,591",
90,9:00p,San Antonio Spurs,105,Denver Nuggets,114,Box Score,,"19,520",
91,10:30p,Oklahoma City Thunder,94,Portland Trail Blazers,114,Box Score,,"20,041",
92,8:00p,Orlando Magic,82,Toronto Raptors,111,Box Score,,"19,964",
93,7:00p,Indiana Pacers,91,Boston Celtics,99,Box Score,,"18,624",
94,9:30p,Utah Jazz,98,Houston Rockets,118,Box Score,,"18,055",
95,8:00p,Detroit Pistons,99,Milwaukee Bucks,120,Box Score,,"17,513",
96,8:00p,Philadelphia 76ers,131,Brooklyn Nets,115,Box Score,,"17,732",
97,10:30p,Golden State Warriors,132,Los Angeles Clippers,105,Box Score,,"19,068",
98,9:00p,Denver Nuggets,108,San Antonio Spurs,118,Box Score,,"18,354",
