,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
74,8:30p,Phoenix Suns,86,San Antonio Spurs,111,Box Score,,"17,676",
75,7:00p,Detroit Pistons,107,Charlotte Hornets,108,Box Score,,"13,997",
76,7:00p,New York Knicks,106,Cleveland Cavaliers,113,Box Score,,"19,432",
77,8:30p,Atlanta Hawks,107,Dallas Mavericks,114,Box Score,,"19,643",
78,10:30p,Toronto Raptors,113,Golden State Warriors,93,Box Score,,"19,596",
79,7:00p,Milwaukee Bucks,97,Indiana Pacers,113,Box Score,,"17,070",
80,8:00p,Portland Trail Blazers,83,Memphis Grizzlies,92,Box Score,,"16,282",
81,8:00p,Oklahoma City Thunder,114,New Orleans Pelicans,118,Box Score,,"14,450",
82,7:00p,Brooklyn Nets,127,Philadelphia 76ers,124,Box Score,,"20,376",
83,10:00p,Minnesota Timberwolves,130,Sacramento Kings,141,Box Score,,"15,770",
84,9:00p,Miami Heat,84,Utah Jazz,111,Box Score,,"18,306",
85,7:00p,Boston Celtics,130,Washington Wizards,125,Box Score,OT,"20,409",
86,8:00p,Los Angeles Lakers,111,Houston Rockets,126,Box Score,,"18,055",
87,9:30p,Chicago Bulls,91,Orlando Magic,97,Box Score,,"20,201","at Mexico City, Mexico"
88,10:30p,Dallas Mavericks,89,Phoenix Suns,99,Box Score,,"13,265",
89,8:30p,Los Angeles Clippers,87,San Antonio Spurs,125,Box Score,,"18,354",
90,7:00p,Atlanta Hawks,108,Boston Celtics,129,Box Score,,"18,624",
91,7:30p,Washington Wizards,118,Brooklyn Nets,125,Box Score,,"13,232",
92,7:00p,New York Knicks,126,Charlotte Hornets,124,Box Score,OT,"17,622",
93,7:30p,Milwaukee Bucks,114,Cleveland Cavaliers,102,Box Score,,"19,432",
94,10:00p,Oklahoma City Thunder,98,Denver Nuggets,109,Box Score,,"19,520",
95,8:00p,Miami Heat,100,Memphis Grizzlies,97,Box Score,,"16,313",
96,7:30p,Indiana Pacers,113,Philadelphia 76ers,101,Box Score,,"20,337",
97,10:00p,Toronto Raptors,122,Portland Trail Blazers,128,Box Score,,"19,458",
98,10:00p,Golden State Warriors,130,Sacramento Kings,125,Box Score,,"17,583",
99,7:00p,Los Angeles Lakers,128,Charlotte Hornets,100,Box Score,,"19,641",
100,7:00p,Boston Celtics,104,Detroit Pistons,113,Box Score,,"17,078",
101,8:00p,Houston Rockets,105,Memphis Grizzlies,97,Box Score,,"16,777",
102,9:00p,Los Angeles Clippers,104,Oklahoma City Thunder,110,Box Score,,"18,203",
103,5:00p,Utah Jazz,89,Orlando Magic,96,Box Score,,"20,011","at Mexico City, Mexico"
104,9:00p,Minnesota Timberwolves,99,Phoenix Suns,107,Box Score,,"14,244",
105,8:30p,Chicago Bulls,98,San Antonio Spurs,93,Box Score,,"18,354",
106,3:00p,Atlanta Hawks,127,Brooklyn Nets,144,Box Score,,"13,955",
107,3:30p,Philadelphia 76ers,128,Cleveland Cavaliers,105,Box Score,,"19,432",
