,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
74,7:00p,Charlotte Hornets,90,Indiana Pacers,99,Box Score,,"15,734",
75,8:00p,Los Angeles Clippers,120,Minnesota Timberwolves,130,Box Score,,"13,782",
76,8:00p,Portland Trail Blazers,111,Oklahoma City Thunder,120,Box Score,,"18,203",
77,7:30p,Brooklyn Nets,125,Toronto Raptors,127,Box Score,,"19,800",
78,7:30p,Los Angeles Lakers,113,Atlanta Hawks,117,Box Score,,"16,824",
79,10:30p,Utah Jazz,108,Golden State Warriors,115,Box Score,,"19,596",
80,8:00p,San Antonio Spurs,108,Memphis Grizzlies,107,Box Score,,"13,788",
81,8:00p,Orlando Magic,118,New Orleans Pelicans,88,Box Score,,"15,733",
82,8:00p,Boston Celtics,112,Philadelphia 76ers,109,Box Score,,"20,582",
83,7:30p,Detroit Pistons,110,Boston Celtics,118,Box Score,,"18,624",
84,8:00p,Memphis Grizzlies,110,Chicago Bulls,122,Box Score,,"19,114",
85,7:00p,Brooklyn Nets,148,Cleveland Cavaliers,139,Box Score,3OT,"17,434",
86,8:30p,Miami Heat,112,Dallas Mavericks,101,Box Score,,"20,364",
87,9:00p,Sacramento Kings,118,Denver Nuggets,120,Box Score,,"17,938",
88,7:00p,Milwaukee Bucks,106,Indiana Pacers,97,Box Score,,"17,311",
89,10:30p,Phoenix Suns,107,Los Angeles Clippers,134,Box Score,,"17,703",
90,8:00p,Houston Rockets,111,Minnesota Timberwolves,121,Box Score,,"15,131",
91,7:30p,Philadelphia 76ers,126,New York Knicks,111,Box Score,,"18,983",
92,10:30p,Golden State Warriors,107,Portland Trail Blazers,129,Box Score,,"19,549",
93,7:30p,Washington Wizards,120,Toronto Raptors,129,Box Score,,"19,800",
94,7:30p,New York Knicks,106,Atlanta Hawks,91,Box Score,,"14,179",
95,8:00p,Oklahoma City Thunder,122,New Orleans Pelicans,131,Box Score,,"15,686",
96,7:00p,Charlotte Hornets,89,Orlando Magic,127,Box Score,,"18,846",
97,7:30p,Portland Trail Blazers,113,Brooklyn Nets,99,Box Score,,"17,732",
98,7:00p,Phoenix Suns,98,Cleveland Cavaliers,111,Box Score,,"19,022",
99,10:30p,Sacramento Kings,123,Golden State Warriors,125,Box Score,,"19,596",
100,10:30p,Houston Rockets,106,Los Angeles Lakers,111,Box Score,,"18,997",
101,8:00p,Boston Celtics,97,Milwaukee Bucks,98,Box Score,,"17,926",
102,7:00p,Miami Heat,102,Philadelphia 76ers,106,Box Score,,"20,505",
103,7:30p,Detroit Pistons,125,Atlanta Hawks,122,Box Score,,"14,067",
104,7:00p,Washington Wizards,110,Charlotte Hornets,123,Box Score,,"15,572",
105,8:30p,Denver Nuggets,114,Dallas Mavericks,104,Box Score,,"20,382",
106,7:00p,New Orleans Pelicans,111,Indiana Pacers,126,Box Score,,"16,962",
107,8:00p,Los Angeles Clippers,112,Memphis Grizzlies,106,Box Score,,"16,444",
108,7:30p,Minnesota Timberwolves,115,New York Knicks,104,Box Score,,"19,096",
109,9:30p,Utah Jazz,147,Oklahoma City Thunder,148,Box Score,2OT,"18,203",
110,7:00p,Chicago Bulls,110,Orlando Magic,109,Box Score,,"18,846",
111,7:00p,San Antonio Spurs,117,Toronto Raptors,120,Box Score,,"20,058",
112,7:00p,Phoenix Suns,112,Atlanta Hawks,120,Box Score,,"15,214",
113,8:00p,Boston Celtics,116,Chicago Bulls,126,Box Score,,"21,295",
114,7:00p,Brooklyn Nets,117,Charlotte Hornets,115,Box Score,,"19,158",
115,7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,112,Box Score,,"19,432",
116,8:30p,Houston Rockets,118,Golden State Warriors,112,Box Score,,"19,596",
117,7:30p,Detroit Pistons,119,Miami Heat,96,Box Score,,"19,600",
118,8:30p,Minnesota Timberwolves,128,Milwaukee Bucks,140,Box Score,,"17,972",
119,7:00p,Los Angeles Lakers,115,New Orleans Pelicans,128,Box Score,,"18,626",
120,8:00p,Sacramento Kings,119,Oklahoma City Thunder,116,Box Score,,"18,203",
121,1:00p,Portland Trail Blazers,130,Philadelphia 76ers,115,Box Score,,"20,619",
122,10:00p,Dallas Mavericks,109,Utah Jazz,125,Box Score,,"18,306",
123,7:00p,Indiana Pacers,119,Washington Wizards,112,Box Score,,"19,648",
124,5:00p,Los Angeles Clippers,96,Denver Nuggets,123,Box Score,,"19,956",
125,7:30p,San Antonio Spurs,118,New York Knicks,130,Box Score,,"18,019",
126,3:30p,Orlando Magic,113,Toronto Raptors,98,Box Score,,"19,800",
127,7:30p,San Antonio Spurs,85,Brooklyn Nets,101,Box Score,,"13,479",
128,8:00p,Milwaukee Bucks,117,Chicago Bulls,106,Box Score,,"20,936",
129,7:00p,Golden State Warriors,121,Charlotte Hornets,110,Box Score,,"19,419",
130,7:00p,Portland Trail Blazers,123,Cleveland Cavaliers,110,Box Score,,"19,432",
131,7:00p,Indiana Pacers,109,Detroit Pistons,113,Box Score,,"15,321",
132,8:00p,Atlanta Hawks,111,Houston Rockets,119,Box Score,,"18,055",
133,10:30p,Dallas Mavericks,112,Los Angeles Clippers,121,Box Score,,"19,068",
134,8:00p,Los Angeles Lakers,105,Memphis Grizzlies,110,Box Score,,"17,794",
135,7:30p,Phoenix Suns,124,Miami Heat,121,Box Score,,"19,600",
136,8:00p,Sacramento Kings,105,Minnesota Timberwolves,112,Box Score,,"13,691",
137,8:00p,Philadelphia 76ers,111,New Orleans Pelicans,110,Box Score,,"17,194",
138,10:30p,Oklahoma City Thunder,112,Denver Nuggets,121,Box Score,,"18,378",
139,7:30p,Orlando Magic,103,New York Knicks,108,Box Score,,"17,833",
140,8:00p,Boston Celtics,95,Toronto Raptors,118,Box Score,,"19,800",
141,7:30p,Minnesota Timberwolves,123,Atlanta Hawks,131,Box Score,OT,"14,101",
142,8:00p,Portland Trail Blazers,97,Boston Celtics,92,Box Score,,"18,624",
143,7:30p,Washington Wizards,125,Brooklyn Nets,116,Box Score,,"13,683",
144,7:00p,Houston Rockets,118,Charlotte Hornets,113,Box Score,,"17,903",
145,8:30p,Indiana Pacers,101,Dallas Mavericks,110,Box Score,,"19,978",
146,10:30p,New Orleans Pelicans,119,Los Angeles Lakers,125,Box Score,,"18,997",
147,8:00p,Chicago Bulls,109,Memphis Grizzlies,107,Box Score,,"13,711",
148,7:30p,Golden State Warriors,125,Miami Heat,126,Box Score,,"19,647",
149,10:00p,Milwaukee Bucks,141,Sacramento Kings,140,Box Score,OT,"17,583",
150,8:30p,Detroit Pistons,93,San Antonio Spurs,105,Box Score,,"18,354",
151,9:00p,Los Angeles Clippers,105,Utah Jazz,111,Box Score,,"18,306",
152,10:30p,Utah Jazz,111,Denver Nuggets,104,Box Score,,"19,520",
153,8:00p,Miami Heat,118,Houston Rockets,121,Box Score,,"18,119",
154,7:00p,Minnesota Timberwolves,115,Indiana Pacers,122,Box Score,,"17,003",
155,7:30p,Cleveland Cavaliers,125,New York Knicks,118,Box Score,,"17,573",
156,8:00p,Philadelphia 76ers,108,Oklahoma City Thunder,104,Box Score,,"18,203",
157,7:00p,Golden State Warriors,96,Orlando Magic,103,Box Score,,"18,846",
